kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;zajimavost
Historie;Ve kterém roce byla založena Karlova univerzita?;1348;1415;1300;1500;A;Karlova univerzita je nejstarší univerzita ve střední Evropě.
Historie;Kdo byl prvním prezidentem Československa?;Edvard Beneš;Tomáš Garrigue Masaryk;Václav Havel;Klement Gottwald;B;T.G. Masaryk byl prezidentem od roku 1918 do 1935.
Historie;Ve kterém roce proběhla Sametová revoluce?;1968;1989;1993;1948;B;Sametová revoluce vedla k pádu komunistického režimu.
Historie;Který český král byl také římským císařem?;Václav IV.;Karel IV.;Přemysl Otakar II.;Rudolf II.;B;Karel IV. byl korunován římským císařem v roce 1355.
Historie;Ve kterém roce vznikla Česká republika?;1989;1991;1993;1918;C;Česká republika vznikla 1. ledna 1993 po rozdělení Československa.
Zeměpis;Jaká je nejvyšší hora České republiky?;Praděd;Sněžka;Lysá hora;Radhošť;B;Sněžka měří 1603 metrů nad mořem.
Zeměpis;Kterým městem protéká řeka Vltava?;Brno;Ostrava;Praha;Plzeň;C;Vltava je nejdelší česká řeka s délkou 430 km.
Zeměpis;Kolik krajů má Česká republika?;10;12;14;16;C;Česká republika má 14 krajů včetně hlavního města Prahy.
Zeměpis;Které město je druhé největší v ČR?;Ostrava;Plzeň;Brno;Olomouc;C;Brno má přes 380 000 obyvatel.
Zeměpis;S kolika státy sousedí Česká republika?;3;4;5;6;B;ČR sousedí s Německem, Polskem, Slovenskem a Rakouskem.
Osobnosti;Kdo napsal operu Prodaná nevěsta?;Antonín Dvořák;Bedřich Smetana;Leoš Janáček;Bohuslav Martinů;B;Premiéra se konala v roce 1866.
Osobnosti;Kdo je autorem románu Osudy dobrého vojáka Švejka?;Karel Čapek;Jaroslav Hašek;Bohumil Hrabal;Franz Kafka;B;Kniha vyšla mezi lety 1921-1923.
Osobnosti;Který český vědec objevil kontaktní čočky?;Jan Evangelista Purkyně;Otto Wichterle;Jaroslav Heyrovský;Carl Ferdinand Cori;B;Otto Wichterle vynalezl měkké kontaktní čočky v roce 1961.
Osobnosti;Kdo je autorem hudby k filmu Amadeus?;Wolfgang Amadeus Mozart;Antonín Dvořák;Bedřich Smetana;Johann Sebastian Bach;A;Film získal 8 Oscarů včetně nejlepšího filmu.
Osobnosti;Která česká spisovatelka získala Nobelovu cenu?;Božena Němcová;Marie Curie;Jaroslav Seifert;Karel Čapek;C;Jaroslav Seifert získal Nobelovu cenu za literaturu v roce 1984.
Kultura;Která česká pohádka se odehrává na Čertově hoře?;Tři oříšky pro Popelku;S čerty nejsou žerty;Dívka na koštěti;Lotrando a Zubejda;B;Film z roku 1984 patří k nejoblíbenějším českým pohádkám.
Kultura;Kdo je autorem sochy sv. Václava na Václavském náměstí?;Josef Václav Myslbek;František Bílek;Ladislav Šaloun;Otto Gutfreund;A;Socha byla odhalena v roce 1912.
Kultura;Ve kterém městě se koná mezinárodní filmový festival?;Praha;Brno;Karlovy Vary;Zlín;C;Festival v Karlových Varech patří k nejprestižnějším v Evropě.
Kultura;Který český film získal Oscara?;Kolja;Pelíšky;Obecná škola;Musíme si pomáhat;A;Kolja získal Oscara za nejlepší cizojazyčný film v roce 1997.
Kultura;Kdo namaloval Slovanskou epopej?;Josef Mánes;Alfons Mucha;František Ženíšek;Mikoláš Aleš;B;Alfons Mucha pracoval na epopej 18 let.
Sport;Kolikrát vyhrála Česká republika hokejové mistrovství světa?;8;10;12;6;C;Naposledy v roce 2010.
Sport;Kdo je nejúspěšnější česká tenistka všech dob?;Petra Kvitová;Martina Navrátilová;Karolína Plíšková;Barbora Krejčíková;B;Martina Navrátilová vyhrála 18 grandslamových titulů ve dvouhře.
Sport;Ve kterém roce se konala olympiáda v Praze?;Nikdy;1920;1936;1980;A;Praha nikdy nehostila olympijské hry.
Sport;Který český fotbalista hrál za AC Milan, Juventus a Chelsea?;Pavel Nedvěd;Tomáš Rosický;Petr Čech;Milan Baroš;A;Pavel Nedvěd získal Zlatý míč v roce 2003.
Sport;Kolik medailí získala ČR na LOH 2020 v Tokiu?;5;8;11;3;C;Česká výprava získala 4 zlaté, 4 stříbrné a 3 bronzové medaile.
