kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Historie;Kdo byl Mojmír II.?;velkomoravský kníže;český kníže;polský král;uherský kníže;A;4;Mojmír II. byl posledním vládcem Velké Moravy před jejím zánikem.
Historie;Ve kterém roce zanikla Velká Morava?;906;900;910;920;A;2;Velkou Moravu zničily nájezdy Maďarů.
Historie;Kdo byl Slavník?;kníže Slavníkovců;český kníže;moravský markrabě;polský král;A;3;Slavník byl otcem svatého Vojtěcha.
Historie;Kdy byla založena Praha jako královské město?;1230;1200;1250;1220;A;3;
Historie;Kdo byl Oldřich?;český kníže;moravský markrabě;polský král;uherský kníže;A;3;Oldřich zajal svého bratra Jaromíra a zmocnil se vlády.
Historie;Ve kterém roce byl zavražděn svatý Václav?;935;929;940;950;A;2;Václav byl zavražděn svým bratrem Boleslavem ve Staré Boleslavi.
Historie;Kdo byl Vratislav I.?;český kníže;moravský markrabě;polský král;uherský kníže;A;3;Vratislav I. byl otcem svatého Václava.
Historie;Kdy byla založena Plzeň?;1295;1300;1290;1280;A;2;Plzeň založil český král Václav II.
Historie;Kdo byl Drahomíra?;česká kněžna;moravská markraběnka;polská královna;uherská kněžna;A;2;Drahomíra byla matkou svatého Václava a obviňována z vraždy Ludmily.
Historie;Ve kterém roce zemřela svatá Ludmila?;921;920;925;930;A;2;Ludmila byla uškrcena na příkaz Drahomíry.
Historie;Kdo byl Boleslav Chrabrý?;polský král;český kníže;moravský markrabě;uherský kníže;A;2;Boleslav Chrabrý nakrátko ovládl Čechy v roce 1003.
Historie;Kdy byla založena České Budějovice?;1265;1250;1270;1280;A;2;České Budějovice založil Přemysl Otakar II.
Historie;Kdo byl Oldřich z Hradce?;šlechtic;básník;vojevůdce;kněz;A;4;
Historie;Ve kterém roce proběhla první pražská defenestrace?;1419;1420;1418;1421;A;2;První defenestrace zahájila husitské války.
Historie;Kdo byl Jan Želivský?;husitský kazatel;vojevůdce;básník;malíř;A;2;Želivský vedl první pražskou defenestraci.
Historie;Kdy byl popraven Jan Želivský?;1422;1420;1424;1425;A;3;Želivský byl popraven pražskými měšťany.
Historie;Kdo byl Václav Koranda starší?;husitský kněz;vojevůdce;básník;malíř;A;3;Koranda byl táborským knězem a radikálním husitou.
Historie;Ve kterém roce proběhla bitva u Ústí nad Labem?;1426;1420;1424;1428;A;3;Husité porazili křižáky vedené saským kurfiřtem.
Historie;Kdo byl Prokop Veliký?;husitský hejtman;básník;malíř;kněz;A;2;Prokop Veliký vedl husitská vojska na spanilé jízdy do ciziny.
Historie;Kdy proběhly basilejské kompaktáty?;1436;1434;1438;1440;A;2;Kompaktáty uznaly kališníky jako legitimní součást církve.
Zeměpis;Které město je známé jako Perla Polabí?;Poděbrady;Kolín;Nymburk;Lysá nad Labem;A;2;Poděbrady jsou známé lázeňstvím a minerálními prameny.
Zeměpis;Kde se nachází Divoká Šárka?;Praha;Brno;Ostrava;Plzeň;A;1;Divoká Šárka je přírodní rezervace na okraji Prahy.
Zeměpis;Kolik procent ČR tvoří louky a pastviny?;přibližně 12%;přibližně 20%;přibližně 8%;přibližně 15%;A;2;
Zeměpis;Které město leží na řece Doubravě?;Chotěboř;Havlíčkův Brod;Jihlava;Pelhřimov;A;2;
Zeměpis;Kde se nachází Prokopské údolí?;Praha;Brno;Ostrava;Plzeň;A;1;Prokopské údolí je přírodní rezervace s vápencovými skálami.
Zeměpis;Jaká je nadmořská výška Králického Sněžníku?;1424 m;1400 m;1450 m;1500 m;A;2;Králický Sněžník je rozvodím tří moří.
Zeměpis;Kde leží město Klatovy?;Plzeňský kraj;Jihočeský kraj;Karlovarský kraj;Středočeský kraj;A;1;Klatovy jsou známé jako město karafiátů.
Zeměpis;Která řeka protéká Kolínem?;Labe;Vltava;Sázava;Berounka;A;1;
Zeměpis;Kde se nachází Kunětická hora?;Pardubický kraj;Královéhradecký kraj;Středočeský kraj;Vysočina;A;1;Kunětická hora je osamělý vrch v Polabí s hradem.
Zeměpis;Kolik obyvatel má přibližně Plzeň?;175 tisíc;200 tisíc;150 tisíc;220 tisíc;A;2;
Zeměpis;Kde pramení řeka Orlice?;Orlické hory;Krkonoše;Jeseníky;Beskydy;A;1;Orlice vzniká soutokem Tiché a Divoké Orlice.
Zeměpis;Které město je centrem Zlínského kraje?;Zlín;Kroměříž;Uherské Hradiště;Vsetín;A;1;
Zeměpis;Kde leží hrad Trosky?;Český ráj;České Švýcarsko;Kokořínsko;Broumovsko;A;1;Trosky mají dvě věže - Baba a Panna.
Zeměpis;Kolik metrů měří věž Baba na Troskách?;57 m;50 m;60 m;45 m;A;3;
Zeměpis;Kde se nachází Blatná?;Jihočeský kraj;Plzeňský kraj;Středočeský kraj;Vysočina;A;1;Blatná má vodní zámek obklopený rybníky.
Zeměpis;Která hora je nejvyšší v Jizerských horách?;Smrk;Jizera;Bukovec;Černá hora;A;2;Smrk má nadmořskou výšku 1124 m.
Zeměpis;Kde leží město Strakonice?;Jihočeský kraj;Plzeňský kraj;Středočeský kraj;Vysočina;A;1;Strakonice jsou známé dudáckým festivalem.
